Inspection ID,License #,DBA Name,Facility Type,Risk,City,State,Results
1106427,2215789,blooming bud daycare,daycare combo 1586,risk 1 (high),chicago,il,pass
2608378,2684170,babas halal,restaurant,risk 1 (high),chicago,il,fail
1106406,2232559,first zabiha meat bazaar,grocery store,risk 2 (medium),chicago,il,fail
2609909,2912802,happy market,grocery store,risk 2 (medium),chicago,il,pass w/ conditions
2609927,2728400,sat kaival food inc/subway,restaurant,risk 1 (high),chicago,il,pass
1138952,23308,fireplace inn,restaurant,risk 1 (high),chicago,il,pass
1106440,22811,jordan elementary school,school,risk 1 (high),chicago,il,pass
2610081,2326530,"marys taqueria and grocery store, inc.",restaurant,risk 1 (high),chicago,il,pass
2610172,2872350,koto,restaurant,risk 1 (high),chicago,il,pass
2610336,2079668,sharks fish-chicken,restaurant,risk 2 (medium),chicago,il,out of business
1106688,2271562,hong kong chinese restaurant inc.,restaurant,risk 1 (high),chicago,il,pass
2610622,2977880,jewel-osco #3181,grocery store,risk 3 (low),chicago,il,out of business
2610361,2708683,momentum coffee,restaurant,risk 1 (high),chicago,il,pass w/ conditions
2608302,2906531,commercial stop & shop,grocery store,risk 3 (low),chicago,il,not ready
1138306,1043118,baisi thai,restaurant,risk 1 (high),chicago,il,pass
1106722,2042082,grande noodles,restaurant,risk 1 (high),chicago,il,pass w/ conditions
2611440,53061,neal f. simeon high school,school,risk 1 (high),chicago,il,fail
2611411,3010547,siam thai,restaurant,risk 1 (high),chicago,il,pass
1234276,2177320,taqueria y restaurantes el novillo,restaurant,risk 1 (high),chicago,il,pass
1234440,6475,alberto's pizza,restaurant,risk 1 (high),chicago,il,fail
2611457,2996893,sheraton grand chicago riverwalk,restaurant,risk 1 (high),chicago,il,pass
2608211,1844283,amazing edibles,catering,risk 1 (high),chicago,il,no entry
1360419,1997650,"original triple crown restaurant, inc.",restaurant,risk 1 (high),chicago,il,fail
2611406,3007189,el mezcalito cantina & grill,restaurant,risk 3 (low),chicago,il,fail
2611362,2055457,king's chop suey,restaurant,risk 1 (high),chicago,il,pass
2611492,2771508,sharks fish & chicken,restaurant,risk 2 (medium),chicago,il,pass
2611483,2998020,ayayay-comida mexicana,restaurant,risk 1 (high),chicago,il,pass
2608162,19551,estelles cafe & pub ltd,restaurant,risk 1 (high),chicago,il,no entry
2608155,2780771,local food hall,restaurant,risk 2 (medium),chicago,il,out of business
2610952,2601590,la luna,restaurant,risk 1 (high),chicago,il,fail
1418409,68226,awami bazaar & zabiha meat,grocery store,risk 2 (medium),chicago,il,pass
2611479,2890583,mar & suchii,restaurant,risk 1 (high),chicago,il,fail
